姓名,学号,性别,身份证号码,出生日期,高考分数
艾城,1514120801,女,1.20E+17,1997/1/30,299
白有成,1514121501,男,1.30E+17,1996/2/8,311
毕程青,1514821524,男,1.41E+17,1997/9/16,259
黄念镭,1514121607,女,2.31E+17,1995/12/14,340
黄鹏辉,1514140408,男,3.10E+17,1997/8/13,356
黄胜,1514121705,女,3.21E+17,1997/2/20,392
黄霞,1514140208,女,3.33E+17,1995/11/26,424
黄晏飞,1514140409,女,3.41E+17,1997/3/9,337
黄扬春,1514121306,女,3.51E+17,1996/2/5,225
黄宇驰,1514121706,女,3.62E+17,1997/1/27,401
黄招源,1514121411,女,3.71E+17,1996/4/15,240
黄志勇,1514121412,女,4.12E+17,1997/5/8,256
简鑫,1515141413,男,4.22E+17,1996/7/8,259
江宇,1514840124,女,4.32E+17,1996/11/24,353
姜慧玲,1514120806,男,4.40E+17,1997/3/2,287
蒋英杰,1515141414,女,4.51E+17,1997/8/30,347
柯有亮,1515141415,男,4.61E+17,1996/5/6,384
赖泽文,1514121307,男,5.01E+17,1997/7/24,265
雷鸣,1514821525,男,5.11E+17,1996/3/3,305
黎劲,1514121608,男,5.21E+17,1996/10/30,313
黎凯华,1514121506,女,5.32E+17,1996/10/22,233
李程,1514122211,男,5.42E+17,1997/6/2,233
李广,1514140209,男,6.12E+17,1995/12/30,322
李宏聪,1514121707,男,6.20E+17,1996/9/12,378
李金华,1514122407,女,6.30E+17,1997/10/11,275
李金昱,1514140108,女,6.41E+17,1996/8/29,366
李兰婷,1515141416,女,6.52E+17,1996/12/13,419
李礼容,1514140410,男,7.11E+17,1996/11/22,348
李潘龙,1514121413,女,8.11E+17,1996/3/28,289
李珊珊,1514140109,女,3.60E+17,1996/3/9,422
李伟,1514121507,女,3.70E+17,1997/7/16,423
李文琮,1514120808,男,4.12E+17,1997/5/23,239
李翔,1514121609,女,4.22E+17,1996/11/16,337
李小明,1515141417,男,4.32E+17,1997/2/1,343
李鑫鑫,1514122409,男,4.41E+17,1996/5/13,304
李炎煜,1515141418,男,4.50E+17,1995/11/27,277
