行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,细分,城市,省/自治区,国家,地区,产品 ID,产品名称,销售额,数量,折扣,利润
6927,CN-2018-2661656,2018/5/19,2018/5/21,二级,施丽-17380,公司,北京,北京,中国,华北,办公用-用品-10001494,"Kleencut 美工刀, 钢",635.6,4,0,152.32
7861,CN-2015-2596183,2015/5/28,2015/6/1,标准级,施立-16690,公司,西安,陕西,中国,西北,家具-椅子-10002913,"Office Star 椅垫, 每套两件",635.32,2,0,203.28
4397,US-2018-1184235,2018/12/14,2018/12/20,标准级,田丽-16270,消费者,重庆,重庆,中国,西南,技术-配件-10003034,"Memorex 闪存驱动器, 回收",634.9,5,0,196.7
7229,CN-2016-4985754,2016/1/10,2016/1/14,标准级,常升-20020,消费者,温岭,浙江,中国,华东,家具-用具-10002112,"Eldon 框架, 耐用",634.368,2,0.4,-63.672
320,CN-2018-1501002,2018/7/31,2018/8/5,二级,李彩-10675,消费者,邯郸,河北,中国,华北,办公用-纸张-10004049,"SanDisk 笔记本, 每包 12 个",633.92,4,0,151.76
3824,CN-2016-1137701,2016/8/14,2016/8/19,标准级,余嫒-10075,公司,凤城,辽宁,中国,东北,办公用-信封-10004437,"Jiffy 局间信封, 回收",633.36,3,0,12.6
5982,CN-2016-4347325,2016/1/6,2016/1/9,一级,贾松-20590,消费者,栖霞,山东,中国,华东,办公用-信封-10004437,"Jiffy 局间信封, 回收",633.36,3,0,12.6
8157,CN-2018-2989159,2018/12/17,2018/12/22,标准级,唐爽-20560,小型企业,胶州,山东,中国,华东,办公用-纸张-10000709,"SanDisk 令, 每包 12 个",633.36,4,0,82.32
9102,US-2018-5339863,2018/1/23,2018/1/27,标准级,孙诚-11320,消费者,胶州,山东,中国,华东,办公用-信封-10004437,"Jiffy 局间信封, 回收",633.36,3,0,12.6
6149,CN-2016-3815654,2016/4/19,2016/4/21,二级,龙谦-19300,消费者,淮南,安徽,中国,华东,办公用-纸张-10000746,"Eaton 信纸, 优质",632.52,3,0,265.44
6864,CN-2018-5703090,2018/7/1,2018/7/3,二级,邱丽-15745,消费者,济南,山东,中国,华东,办公用-纸张-10000746,"Eaton 信纸, 优质",632.52,3,0,265.44
9671,CN-2017-5838362,2017/4/10,2017/4/14,标准级,薛荷-13705,公司,亿诚,江苏,中国,华东,办公用-纸张-10000746,"Eaton 信纸, 优质",632.52,3,0,265.44
4657,CN-2016-2957814,2016/11/24,2016/11/26,一级,韦磊-16135,小型企业,昌图,辽宁,中国,东北,办公用-信封-10002674,"Ames 马尼拉纸信封, 银色",632.1,5,0,37.8
