姓名,学号,性别,身份证号码,出生日期,高考分数
艾城,1514120801,女,1.20E+17,1997/1/30,299
白有成,1514121501,男,1.30E+17,1996/2/8,311
毕程青,1514821524,男,1.41E+17,1997/9/16,259
蔡志涛,1514820832,女,1.52E+17,1997/9/18,232
曹峰,1514121601,男,2.11E+17,1996/5/11,243
曹志丽,1514140101,女,2.21E+17,1996/8/6,343
柴鹏程,1515141401,男,2.30E+17,1996/12/12,246
陈成晟,1515122719,女,3.10E+17,1996/1/6,318
陈楚宇,1514120802,男,3.22E+17,1996/9/12,365
陈芳颖,1514121502,女,3.32E+17,1996/7/27,230
陈昊,1515141402,男,3.42E+17,1997/3/9,324
陈虎,1515141403,男,3.51E+17,1996/5/29,411
陈慧琴,1514140401,女,3.60E+17,1996/2/10,251
陈健广,1515141404,男,3.71E+17,1995/11/1,253
陈俊美,1514120803,女,4.10E+17,1995/12/17,353
陈岚玲,1514140102,女,4.21E+17,1997/3/8,370
陈晴云,1514140201,男,4.31E+17,1996/12/18,394
陈世凯,1514122401,女,4.42E+17,1997/5/12,339
陈添源,1514121503,男,4.51E+17,1996/4/11,405
陈旭,1514121701,女,4.62E+17,1997/6/9,360
陈旭明,1515141405,男,5.02E+17,1997/4/27,395
陈雪,1514140202,女,5.12E+17,1996/4/25,301
陈瑶,1514140203,女,5.20E+17,1995/12/13,395
陈志伟,1515141406,男,5.31E+17,1997/10/8,298
陈子健,1515141407,男,5.41E+17,1997/3/16,351
程琛,1514121702,女,6.11E+17,1995/12/21,224
程激武,1514121401,男,6.21E+17,1996/4/5,258
程星华,1515122720,男,6.31E+17,1997/6/20,348
代宇文,1514140204,女,6.42E+17,1997/1/14,369
邓芳,1514140402,男,6.52E+17,1996/3/23,358
邓琪,1514140205,男,7.12E+17,1997/6/8,431
邓舒云,1514140403,女,8.10E+17,1997/7/18,304
邓宇威,1514121703,女,2.20E+17,1996/7/4,315
丁慧芳,1514140103,男,2.31E+17,1995/12/13,276
丁晓军,1514122306,女,3.12E+17,1997/3/27,249
杜雷凯,1515122721,男,3.21E+17,1996/10/5,384
