姓名,学号,性别,身份证号码,出生日期,高考分数
艾城,1514120801,女,1.20102E+17,1997/1/30,299
白有成,1514121501,男,1.30104E+17,1996/2/8,311
毕程青,1514821524,男,1.41123E+17,1997/9/16,259
蔡志涛,1514820832,女,1.51512E+17,1997/9/18,232
曹峰,1514121601,男,2.11112E+17,1996/5/11,243
曹志丽,1514140101,女,2.21202E+17,1996/8/6,343
柴鹏程,1515141401,男,2.30104E+17,1996/12/12,246
陈成晟,1515122719,女,3.10106E+17,1996/1/6,318
陈楚宇,1514120802,男,3.22114E+17,1996/9/12,365
陈芳颖,1514121502,女,3.31516E+17,1996/7/27,230
陈昊,1515141402,男,3.41848E+17,1997/3/9,324
陈虎,1515141403,男,3.51263E+17,1996/5/29,411
陈慧琴,1514140401,女,3.60211E+17,1996/2/10,251
陈健广,1515141404,男,3.71234E+17,1995/11/1,253
陈俊美,1514120803,女,4.10101E+17,1995/12/17,353
陈岚玲,1514140102,女,4.21215E+17,1997/3/8,370
陈晴云,1514140201,男,4.31315E+17,1996/12/18,394
陈世凯,1514122401,女,4.41614E+17,1997/5/12,339
陈添源,1514121503,男,4.51016E+17,1996/4/11,405
陈旭,1514121701,女,4.62035E+17,1997/6/9,360
陈旭明,1515141405,男,5.02148E+17,1997/4/27,395
陈雪,1514140202,女,5.12036E+17,1996/4/25,301
陈瑶,1514140203,女,5.20125E+17,1995/12/13,395
陈志伟,1515141406,男,5.31123E+17,1997/10/8,298
陈子健,1515141407,男,5.41158E+17,1997/3/16,351
程琛,1514121702,女,6.11245E+17,1995/12/21,224
程激武,1514121401,男,6.21201E+17,1996/4/5,258
程星华,1515122720,男,6.31203E+17,1997/6/20,348
代宇文,1514140204,女,6.41503E+17,1997/1/14,369
邓芳,1514140402,男,6.51506E+17,1996/3/23,358
邓琪,1514140205,男,7.11503E+17,1997/6/8,431
邓舒云,1514140403,女,8.10102E+17,1997/7/18,304
邓宇威,1514121703,女,2.20104E+17,1996/7/4,315
丁慧芳,1514140103,男,2.31123E+17,1995/12/13,276
丁晓军,1514122306,女,3.11512E+17,1997/3/27,249
杜雷凯,1515122721,男,3.21112E+17,1996/10/5,384
杜鑫,1514121304,女,3.31202E+17,1997/8/26,253
段丹慧,1514140104,男,3.40104E+17,1996/5/27,281
樊德武,1514121402,女,3.50106E+17,1996/2/25,223
付甜甜,1514140105,男,3.62114E+17,1997/10/23,416
傅伟强,1514121504,女,3.71516E+17,1997/1/21,351
高亮刚,1514121403,男,4.11848E+17,1996/6/8,423
高胜荣,1514140404,男,4.21263E+17,1996/5/6,248
高斜,1514140405,女,4.30111E+17,1996/7/26,247
葛家辉,1514121704,女,4.41234E+17,1997/6/28,381
龚芳仁,1514140106,男,4.51001E+17,1996/6/27,370
管廷尧,1514121404,女,4.61215E+17,1997/9/17,371
郭俊,1514121602,男,5.01315E+17,1997/3/1,224
郭淑庆,1514121405,男,5.11614E+17,1997/7/9,379
郭雨鑫,1515141408,男,4.11016E+17,1997/8/14,371
郭紫薇,1514140206,女,4.22035E+17,1997/2/3,438
杭鑫业,1515141409,男,4.32148E+17,1997/7/10,316
何浩序,1514121505,女,4.42036E+17,1996/9/11,386
何娟,1514120804,男,4.50125E+17,1996/10/12,311
何梦楠,1514140406,男,4.61123E+17,1997/6/11,328
何世辉,1514121603,女,5.01158E+17,1996/5/20,226
何肇,1514121604,男,5.11245E+17,1996/11/9,392
贺顺帆,1514840225,男,5.21201E+17,1997/1/12,349
洪亚超,1514120805,女,5.31203E+17,1997/6/8,426
洪志伟,1514121406,女,5.41503E+17,1997/10/23,293
胡冰涛,1514121605,男,6.11506E+17,1995/12/18,252
胡霏,1514140407,女,6.21503E+17,1997/1/28,432
胡荣,1514121606,女,6.30102E+17,1997/7/31,335
胡涛,1515141410,女,6.40104E+17,1996/8/21,260
胡鑫,1514121407,男,6.51123E+17,1996/2/1,420
胡一正,1514121408,女,7.11512E+17,1997/4/20,387
胡芝,1514121409,女,8.11112E+17,1997/8/26,341
胡智辉,1514121305,男,1.21202E+17,1997/5/6,295
黄超,1514121410,女,1.30104E+17,1997/6/27,409
黄洁,1515141411,男,1.40106E+17,1995/12/10,393
黄晶,1514140107,男,1.52114E+17,1997/1/2,313
黄亮亮,1514140207,男,2.11516E+17,1997/6/5,389
黄梦云,1515141412,男,2.21848E+17,1997/8/5,263
黄念镭,1514121607,女,2.31263E+17,1995/12/14,340
黄鹏辉,1514140408,男,3.10102E+17,1997/8/13,356
黄胜,1514121705,女,3.21234E+17,1997/2/20,392
黄霞,1514140208,女,3.32514E+17,1995/11/26,424
黄晏飞,1514140409,女,3.41215E+17,1997/3/9,337
黄扬春,1514121306,女,3.51315E+17,1996/2/5,225
黄宇驰,1514121706,女,3.61614E+17,1997/1/27,401
黄招源,1514121411,女,3.71016E+17,1996/4/15,240
黄志勇,1514121412,女,4.12035E+17,1997/5/8,256
简鑫,1515141413,男,4.22148E+17,1996/7/8,259
江宇,1514840124,女,4.32036E+17,1996/11/24,353
姜慧玲,1514120806,男,4.40125E+17,1997/3/2,287
蒋英杰,1515141414,女,4.51123E+17,1997/8/30,347
柯有亮,1515141415,男,4.61158E+17,1996/5/6,384
赖泽文,1514121307,男,5.01245E+17,1997/7/24,265
雷鸣,1514821525,男,5.11201E+17,1996/3/3,305
黎劲,1514121608,男,5.21203E+17,1996/10/30,313
黎凯华,1514121506,女,5.31503E+17,1996/10/22,233
李程,1514122211,男,5.41506E+17,1997/6/2,233
李广,1514140209,男,6.11503E+17,1995/12/30,322
李宏聪,1514121707,男,6.20102E+17,1996/9/12,378
李金华,1514122407,女,6.30104E+17,1997/10/11,275
李金昱,1514140108,女,6.41123E+17,1996/8/29,366
李兰婷,1515141416,女,6.51512E+17,1996/12/13,419
李礼容,1514140410,男,7.11112E+17,1996/11/22,348
李潘龙,1514121413,女,8.11202E+17,1996/3/28,289
李珊珊,1514140109,女,3.60104E+17,1996/3/9,422
李伟,1514121507,女,3.70106E+17,1997/7/16,423
李文琮,1514120808,男,4.12114E+17,1997/5/23,239
李翔,1514121609,女,4.21516E+17,1996/11/16,337
李小明,1515141417,男,4.31848E+17,1997/2/1,343
李鑫鑫,1514122409,男,4.41263E+17,1996/5/13,304
李炎煜,1515141418,男,4.50106E+17,1995/11/27,277
李永康,1515141419,女,4.61234E+17,1995/11/18,263
李勇强,1514121708,女,5.01736E+17,1996/5/28,356
李玉宝,1515141420,女,5.11215E+17,1996/2/21,425
李煜东,1515141421,女,5.21315E+17,1997/1/18,303
李元军,1514121508,男,5.31614E+17,1996/10/10,382
李珍,1514120809,女,5.41016E+17,1996/10/10,329
梁文婧,1514121610,男,2.32035E+17,1997/7/25,341
廖焕红,1515141422,女,3.12148E+17,1997/4/21,392
廖嘉应,1514121414,女,3.22036E+17,1997/9/7,323
廖亚萍,1514140411,男,3.30125E+17,1996/1/30,281
廖云涛,1515141423,女,2.31123E+17,1996/5/2,278
林立强,1515141424,男,3.11158E+17,1996/8/24,276
林上洪,1514121415,女,3.21245E+17,1997/10/25,271
凌子雯,1514120810,女,3.31201E+17,1996/4/12,270
刘单海,1514121308,女,2.31203E+17,1997/6/9,390
刘丰,1514140110,男,3.11503E+17,1997/1/12,302
刘观强,1514121611,男,3.21506E+17,1996/6/11,248
刘晗,1515841425,女,3.31503E+17,1997/9/22,419
刘经金,1514121416,女,3.20102E+17,1997/3/7,427
刘俊杰,1514121509,男,3.30104E+17,1996/1/29,340
刘祁卓,1514121309,男,4.31123E+17,1997/3/26,386
刘强,1514121310,男,4.41512E+17,1996/9/30,391
刘青,1514140210,男,4.51112E+17,1995/11/13,240
刘少辉,1514121709,男,4.61202E+17,1996/6/14,371
刘苏,1515841426,女,5.00104E+17,1997/9/25,411
刘子琪,1514120811,女,5.10106E+17,1996/12/11,322
柳维,1514140412,女,5.22114E+17,1997/9/27,403
龙阿金,1514120812,女,5.31516E+17,1997/7/27,265
龙小彬,1514121417,男,5.41848E+17,1996/8/17,401
娄嘉悦,1514140211,男,6.11263E+17,1997/5/15,234
娄凯,1515122718,女,6.21103E+17,1996/12/3,344
卢甫茂,1514121510,男,6.31234E+17,1997/3/15,394
卢敏,1514140413,男,6.41113E+17,1997/9/16,245
卢敏,1514140414,男,4.31215E+17,1996/11/12,405
