行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,细分,城市,省/自治区,国家,地区,产品 ID,产品名称,销售额,数量,折扣,利润
332,CN-2015-1182921,2015/5/13,2015/5/18,标准级,唐蔓-18010,公司,宣化,河北,中国,华北,家具-桌子-10001852,"Bevis 会议桌, 组装",35621.355,11,0.25,-2375.065
1975,CN-2018-2503468,2018/10/23,2018/10/28,二级,武明-18385,消费者,北京,北京,中国,华北,办公用-器具-10000912,"Hamilton Beach 冰箱, 黑色",30306.64,13,0,908.18
967,CN-2017-5569845,2017/12/16,2017/12/22,标准级,彭娜-18550,消费者,上海,上海,中国,华东,办公用-器具-10000373,"Breville 冰箱, 银色",29124.48,12,0,6115.2
3128,CN-2015-3555396,2015/8/20,2015/8/22,二级,谭珊-19900,消费者,上海,上海,中国,华东,技术-电话-10003828,"摩托罗拉 充电器, 混合尺寸",27112.68,9,0,3253.32
3382,CN-2018-5844938,2018/10/19,2018/10/23,标准级,牛黎-16390,公司,洛阳,福建,中国,华东,技术-电话-10003828,"摩托罗拉 充电器, 混合尺寸",27112.68,9,0,3253.32
3420,CN-2018-2919347,2018/7/21,2018/7/22,当日,田磊-16120,小型企业,胶南,山东,中国,华东,技术-电话-10000762,"摩托罗拉 充电器, 全尺寸",27047.16,9,0,1621.62
582,CN-2016-4292548,2016/6/26,2016/6/28,二级,毛丽-16225,公司,临清,山东,中国,华东,家具-书架-10001061,"Safco 古典书架, 金属",26548.34,13,0,3982.16
4931,US-2016-4150614,2016/9/28,2016/10/1,一级,谷莲-16990,公司,洛阳,河南,中国,中南,家具-椅子-10001258,"Harbour Creations 扶手椅, 可调",25995.06,13,0.1,10108.28
6743,CN-2017-2577941,2017/6/26,2017/6/28,二级,黄磊-16000,消费者,哈尔滨,黑龙江,中国,东北,办公用-器具-10001448,"Hamilton Beach 冰箱, 银色",25711.84,11,0,2570.26
9478,CN-2017-5165630,2017/10/9,2017/10/13,标准级,韦达-11830,公司,昆明,云南,中国,西南,家具-书架-10001371,"Safco 古典书架, 传统",24536.4,12,0,6624.24
