行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,细分,城市,省/自治区,国家,地区,产品 ID,产品名称,销售额,数量,折扣,利润
1203,US-2015-4733722,2015/8/22,2015/8/23,一级,郝壁-10420,公司,辽中,辽宁,中国,东北,技术-配件-10003154,"Enermax 鼠标, 实惠",789.684,7,0.4,-198.156
9054,CN-2015-3171627,2015/5/2,2015/5/7,标准级,黄岱-11860,消费者,重庆,重庆,中国,西南,技术-设备-10000429,"柯尼卡 电话, 白色",789.6,2,0,371
5731,US-2016-4269674,2016/1/26,2016/1/31,标准级,巩晒-19795,小型企业,乐山,四川,中国,西南,家具-椅子-10001701,"Office Star 折叠椅, 每套两件",789.264,3,0.4,-329.196
2040,US-2015-1924488,2015/3/21,2015/3/28,标准级,邵黎-16405,小型企业,营口,辽宁,中国,东北,办公用-器具-10003822,"KitchenAid 咖啡研磨机, 红色",789.264,4,0.4,-381.696
2021,US-2017-4505574,2017/8/28,2017/8/28,当日,夏平-19120,消费者,邳州,江苏,中国,华东,家具-椅子-10003809,"Office Star 摇椅, 红色",789.096,2,0.4,-447.384
7938,CN-2018-3350819,2018/7/20,2018/7/26,标准级,贺婉-21355,公司,莆田,福建,中国,华东,家具-椅子-10001559,"Novimex 椅垫, 红色",788.76,3,0,267.96
5799,CN-2016-4480622,2016/5/24,2016/5/28,标准级,郝柏-18940,消费者,深圳,广东,中国,中南,家具-书架-10004172,"Safco 柜, 传统",787.92,1,0,362.32
8431,CN-2017-4190541,2017/8/7,2017/8/13,标准级,范刚-13135,消费者,晋城,山西,中国,华北,技术-配件-10000138,"贝尔金 鼠标, 可编程",787.92,4,0,62.72
4859,CN-2018-1900344,2018/4/9,2018/4/14,标准级,姚凤-13015,消费者,广州,广东,中国,中南,办公用-收纳-10002840,"Fellowes 盒, 金属",787.5,9,0,109.62
5531,CN-2017-5057492,2017/12/19,2017/12/24,标准级,李黎-16375,小型企业,诸暨,浙江,中国,华东,技术-配件-10000783,"罗技 键盘, 回收",786.912,4,0.4,-197.008
8430,CN-2017-4190541,2017/8/7,2017/8/13,标准级,范刚-13135,消费者,晋城,山西,中国,华北,办公用-器具-10003404,"Hamilton Beach 咖啡研磨机, 黑色",785.68,4,0,23.52
4241,CN-2015-1708265,2015/12/12,2015/12/16,标准级,邵黎-16420,公司,池州,安徽,中国,华东,家具-用具-10000958,"Advantus 门挡, 耐用",785.12,4,0,94.08
897,CN-2016-3138520,2016/11/30,2016/12/2,一级,潘盛-20380,消费者,深圳,广东,中国,中南,家具-椅子-10000676,"SAFCO 椅垫, 可调",785.106,3,0.1,313.866
7748,CN-2018-1290698,2018/3/24,2018/3/30,标准级,贺晨-11125,小型企业,西安,陕西,中国,西北,家具-用具-10001078,"Advantus 灯泡, 优质",784.98,9,0,78.12
2493,CN-2018-2875530,2018/12/9,2018/12/14,标准级,巩凤-12880,公司,双城,黑龙江,中国,东北,技术-配件-10002404,"贝尔金 键盘, 耐用",784.84,2,0,109.76
9192,CN-2017-2924320,2017/12/2,2017/12/7,标准级,钟忠-11485,小型企业,岳阳,湖南,中国,中南,技术-配件-10002404,"贝尔金 键盘, 耐用",784.84,2,0,109.76
